,created_at,full_text,antisemitismo,retweet_count,favorite_count,user.screen_name,user.followers_count,user.favourites_count,WD,X,MO,NB,RELI,RIQ,NAC,NAZI,label
21,Wed Jun 15 13:31:52 +0000 2022,"@MamelaFialloFlo @jeoponcec ¿Cultura del trabajo? En un mundo donde todos terminan  trabajando para Soros y el NOM. 

Saber para quien trabajas y a quien afecta tu trabajo.

Trabajar para KFC es venderle veneno a la gente a cambio recibes un sueldo y el karma te paga con una enfermedad familiar.",1,0,0,______696_,46,2298,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1
22,Thu May 04 09:05:30 +0000 2023,"@lexivamp_ Porque es judío.
Y ya se sabe quién ganó la II Guerra Mundial.",0,0,0,IVS_SANGVINIS,853,5910,,,,,,,,,0
23,Sun May 21 09:26:07 +0000 2023,"Farsante❗Queres apañarte en la ""banalizacion del holocausto y la figura del antisemitismo"" que fueron SOLO UNO de los pilares del nazismo. Por que no hablas del resto malparido❓Milei es la abominacion impia, incestuosa, mentirosa e hipocrita mas grande que conoci en mis 54 años https://t.co/6VwcbSA30t",-1,4,6,pabloamatook,1028,18036,,,,,,,,,0
24,Thu Jun 16 14:40:38 +0000 2022,"@hermanntertsch Yo estoy casi seguro que está a las órdenes de Estado profundo, Soros y Cía.",2,0,0,besccos,14,177,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1
25,Mon Apr 24 20:26:14 +0000 2023,@Fa__Israel Jajajjajajajajaja que bien puesta les quedó la letra Delincuentes 🤣,-2,0,2,maribelpatriota,161,2174,,,,,,,,,0
26,Fri May 26 19:00:20 +0000 2023,@Jbeltranluna_ Solo buscan destabilizar al gobierno y son mandados por sus jefes Soros https://t.co/3YCmFKsved,1,0,0,josealv94622907,32,6650,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1
27,Fri May 26 08:55:14 +0000 2023,@Israel_1977 Pero no era un paragüero?,-2,0,0,DeTocina,4,337,,,,,,,,,0
28,Wed Jun 15 14:22:20 +0000 2022,"☄️  La inquietante historia de Irma Grese, la temida ‘hiena de Auschwitz’ https://t.co/MicUZTCf3F",-2,1,0,TuitReportes,44509,338,,,,,,,,,0
29,Thu May 25 18:39:51 +0000 2023,@Israel_toto334 @VictorAQuintana @Maverick19651 @JavierGarcia_Uy @LeoCipriani20 No tenés idea de lo que escribís...,-2,0,0,amanece2021,473,15440,,,,,,,,,0
30,Tue May 30 23:26:32 +0000 2023,"😉 ¡YA TENEMOS LOS PRIMEROS CLASIFICADOS A CUARTOS DE FINAL! 

🇺🇸 @USYNT  e 🇮🇱 Israel esperan a sus rivales. 

🔥 ¡Se está poniendo bueno!

#U20TD #U20WC #MundialTelemundo https://t.co/LJHUOn7bJL",-2,4,13,TelemundoSports,251672,542,,,,,,,,,0
31,Sat Jun 18 19:04:41 +0000 2022,"En la larga historia de la humanidad no ha  existido ideología más tiránica ni más criminal que el comunismo, que encarceló a mas de  mil millones de personas en sus propios países y asesinó a más de 100 millones de seres humanos,cinco veces más que el horror del genocida Hitler",-2,7,8,JorgeMo58789924,214,2,,,,,,,,,0
32,Mon May 22 12:52:55 +0000 2023,"@LeonorGarcaBla1 @Miss_Marga_ @IdiazAyuso Era lo que iba a decir , democracias a quien pacta con indepentistas ? El rey de Marruecos sin preguntar a nadie ? Con el señor Soros ?",0,0,0,Mikaela_Sofia10,123,4284,,,,,,,,,0
33,Wed Jun 15 02:41:52 +0000 2022,"@Pfrobledo @petrogustavo @ingrodolfohdez Usted votará por @ingrodolfohdez el que ha dicho muchas verdades
Soy admirador de Hitler
Hacerse rico con los impuestos de los pobres es una delicia
La virgen María y las putas 
No soy Uribista 🤣🤣
El Imputado
El misógino
El ESTADO DE SITIO 
Llegue a pensar que eras inteligente",-2,0,0,alonsoarango,753,18832,,,,,,,,,0
34,Tue May 31 14:59:37 +0000 2022,En lugar de estar replicando pendejadas de Hitler hay que exigir que las instancias pendientes en este proceso se adelanten a la jornada electoral de segunda vuelta. Con Uribe ya vimos los que pasa con los aforados. @CorteSupremaJ @FiscaliaCol @CjudicaturaCol @petrogustavo https://t.co/dsM63JHuCX,0,0,2,Palemar1324,305,13194,,,,,,,,,0
35,Fri Jun 24 10:23:15 +0000 2022,"@rosapantin1301 Que gane BOLSONARO💪💪💪 y que sea el resurgimiento de una nueva Latam, sin injerencias de malvados como Soros o su Foro de SP. Bandidos, corruptos!",1,0,0,iseutt,142,27638,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1
36,Sun May 21 08:13:15 +0000 2023,"Todavía emocionada con el final de Killers of the Flower Moon #Cannes2023 

 https://t.co/aO2VWxDpTw",-2,5,45,pepablanes,27612,42667,,,,,,,,,0
37,Sun May 29 15:10:45 +0000 2022,"lo que está pasando en jerusalén, otra vez, es de todo menos judío",-2,0,2,fedest_,789,20525,,,,,,,,,0
38,Tue Apr 25 19:21:05 +0000 2023,"`Por favor comparad este arbitraje con cuando vamos nosotros a Belgrado, Israel, Estambul, etc",-2,1,2,Felixfashion,4368,70494,,,,,,,,,0
39,Wed May 24 05:35:18 +0000 2023,"🍬 Las fotos que Hitler intentó destruir, o que probablemente debería haber destruido https://t.co/jrd5jc9zM3",-2,0,0,Postematico,89536,3644,,,,,,,,,0
40,Sat Jun 04 05:56:53 +0000 2022,"""?? La Córdoba de las tres culturas, la cristiana, la musulmana y la judía, un ejemplo de armonía y entendimiento... https://t.co/AsMgr8SAh0""",-2,0,0,Migueliiiiiiito,4163,29,,,,,,,,,0
41,Fri May 12 18:08:27 +0000 2023,Abajo el estado sionista de Israel que asesina y masacra cientos de palestino hace décadas. Genocidas! #PalestinaLibre https://t.co/IO0zmKvs3v,2,8,12,Ayejulieta,539,6833,-2.0,-2.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1
42,Mon May 30 03:04:28 +0000 2022,"@EcheverryLlanos @doctorcruz2021A @Mile06426923 @Pecoralt @Telomerasa0406 @tinaduque2015 @Billyboy583 @piapaulette @MarceloJaramil1 @MalenaGutierr12 @Erikaximena16 @MauricioGalin11 @Soraya_0518913 @johnjairogonz13 @TruqueVelezC @TsJessicaRubio @Mabeltran19 @ivancho67 @CaicedoJise @colombiaesconc @MartaMurielRod1 @JOHNEDUARDOPANT @wilvacations1 @judith61963452 @petrogustavo Así sucedió aquí en Neiva, muchos por Petro! Pero no entiendo por qué ganó ROADOLFO HITLER HERNÃNDEZ y  Lo curioso fue  que le 
Escuche a dos señoras viudas quejarse por qué las cédulas de sus esposos fallecidos, 5 y 7 años respectivamente  estaban habilitadas para votar ðŸ¤”",-2,10,12,yapaqui,616,21089,,,,,,,,,0
43,Sun May 21 09:02:34 +0000 2023,"La secta catalanista,nietos d una burguesía q fue la q mejor vivió en la época d Franco, y ahora mismo son ls más mimads y q+ chupan dl bote españl,
tras décadas d adoctrinmto tienen tanto odio acumulado a Espña q prefieren ser 1Aldeíta dl Imperio d Soros q part d la Hist d Spain",-2,0,0,CrissolForum,300,19580,,,,,,,,,0
44,Mon Apr 24 02:29:40 +0000 2023,🆕 ¿Por qué aseguran que Hitler era judío? https://t.co/40yNH840VB,-2,0,0,Informedios,28975,525,,,,,,,,,0
45,Sun Jun 26 10:18:23 +0000 2022,@carlesenric Joder como que ayer vi a hitler y Mussolini tomando un helado en la esquina de mi casa,0,0,2,jmcm1964,48,41046,,,,,,,,,0
46,Wed May 03 20:10:03 +0000 2023,"¿O estás diciendo que esos drones los lanzaron malos rusos desde la propia capital? Vuestro relato es muy parecido al de Hitler en 1945. Ya que buscas nazis provocadores, busca en el Kremlin.",-2,0,0,rryanguas,521,9941,,,,,,,,,0
47,Thu Jun 02 01:48:15 +0000 2022,@jopersonal1234 @CosmicMachete @LiberalesProgr @ingrodolfohdez Mentiroso. Van con el Hitler colombiano,-2,0,1,RossoJoseE,237,523,,,,,,,,,0
48,Wed Jun 08 00:35:00 +0000 2022,"Los judíos mataron a Moisés. Sigmund Freud, identidad y antisemitismo https://t.co/mCeAOqTm5K a través de @YouTube y esto, es lo que anuncian en el Centro Sefarad-Israel calle Mayor 69 Madrid... ¿Qué ha hecho España para este lento pero imparable genocidio?",2,0,0,LaHoraAzul3,19,2273,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,-2.0,1
49,Tue Jun 14 16:00:14 +0000 2022,@luis1210 Todo es un plan del globalismo de soros,1,0,0,MarioCastroUC,1001,6819,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1
50,Thu May 25 15:00:03 +0000 2023,@callodehacha Asi es…,-2,0,0,israel_kaioh,88,4233,,,,,,,,,0
51,Thu Jun 02 13:07:22 +0000 2022,"@Anastasiaeliza_ ðŸ¤£ eso solo deja en evidencia, que los petristas y Uribistas son Hermanos separados al nacer y que mantienen peleando por a quién lo quieren más sus padres. Creen que Petro va dejar un parasito con Rodolf Hitler que ingenuos e imbéciles es esta gentesita. De ""bien"" ðŸ¤£ðŸ¤¦ðŸ»â€â™‚ï¸",-2,0,0,FreeMan595AOR,192,2343,,,,,,,,,0
52,Tue Apr 25 03:19:10 +0000 2023,"@PabloLucini3 Hay una incoherencia en la frase, por ser musulman no sos blanco, por ser Judio no sos negro? Lo que rápidamente dice que quien lo expresa es un demente más allá de su religión",-1,0,0,laovenezia,233,641,,,,,,,,,0
53,Mon Jun 27 17:22:14 +0000 2022,"@Alejand18981612 @sergioassia @DrChavezDiaz @MrDoctorOficial @Televisa @mileno @lopezobrador_ @COFEPRIS @Tu_IMSS @adn40 Malditos todos los Gobiernos que Están siendo cómplice de la manzana de inocentes 
al igual que Hitler un día llegará el Jucio y las historia los condenará por siempre",-2,0,1,Al21639790Emely,9,183,,,,,,,,,0
54,Sat May 20 12:27:18 +0000 2023,"El Reino Unido honra póstumamente a un diplomático judío bloqueado por los saudíes en 1968 por ser judío
https://t.co/IR42s6QNmv",-2,15,57,estadoisrael,67289,2072,,,,,,,,,0
55,Tue May 09 19:51:00 +0000 2023,"La de Israel se ha comido a todos los demás. Literalmente, sin despenarse.  #Eurovision2023  #EurovisiónRTVE",-2,0,2,iermartinez,1557,3017,,,,,,,,,0
56,Wed May 24 14:35:03 +0000 2023,@Maxi_Natsoc_ @Tioblancohetero Porque Roosevelt era judío y era parte del plan. https://t.co/xuOdvc6SIR,1,0,1,VulpeculaVdL,1765,54186,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1
57,Mon Jun 27 07:49:20 +0000 2022,"@H3ctorCom @AdrianGuth @Gon_esp_ @perezreverte Qué lo elija la mayoría no significa en ningún caso que sea bueno, le recuerdo que Hitler llegó al poder mediante elecciones con mayoría absoluta, el esclavismo en Estados Unidos existió por años en democracia.",-2,0,2,_Cyrodiil,46,15750,,,,,,,,,0
58,Thu May 11 16:10:44 +0000 2023,"@ncl1965 No fueron aliados eso fue simplemente un pacto de no agresión al igual   que otros que  Hitler firmó como el de los Sudetes con   Italia, Gran Bretaña y Francia.     

Vaya a leer,  harta falta le hace.",-2,0,0,JohnPau55498283,160,3765,,,,,,,,,0
59,Mon Jun 13 13:32:30 +0000 2022,"Solo falta Hitler y ya tendríamos a tres personas muertas que parece que sigan vivas de lo mucho que se habla de ellas, sobre todo del primero. https://t.co/I8AjfVQtkc",0,0,0,OFiloh,6,190,,,,,,,,,0
60,Thu Jun 16 20:32:14 +0000 2022,"EN ESPAÑA NO HAY DEMOCRACIA,HAY OCLOCRACIA SÁNCHEZ.EN NOVIEMBRE DE 2019 HUBO PUCHERAZO DE SOROS.EN LAS ANDALUZAS,SE HAN PUESTO DE ACUERDO EL SÁTRAPA Y FEIJÓO,PARA QUE GOBIERNE JUANMA MORENO SOLO,INDEPENDIENTEMENTE DE LOS VOTOS,AUNQUE VOX SAQUE MÁS ESCAÑOS.LO QUE NO SABEMOS",1,0,0,anasaura695,76,43,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1
61,Tue May 09 20:20:45 +0000 2023,"Boric arrastra rencores de sus antepasados  
Por eso no recibio al embajador de Israel? https://t.co/GxbsJ4adzu",-1,1,0,KATAXXI,398,59813,,,,,,,,,0
62,Sat May 20 14:53:58 +0000 2023,"@JErnestoPelaezT @JuanCT70 @eduardomenoni @omarbula George Soros... Admirador y auspiciador de todo lo mal hecho en los gobiernos... Ésta rata cree que arrodillándose ante él queda mejor parada ? Definitivamente, en la cabeza de ellos solamente hay mierda.",-2,0,0,FabinRo16564895,133,982,,,,,,,,,0
63,Thu Jun 02 17:06:41 +0000 2022,"@juliancardona76 @JaSalava @ingrodolfohdez O sea, que importa si es Hitler, pero subanlo??? Este es su argumento? Que vergÃ¼enza de su descendencia!",-1,0,0,Marcediazm97,430,4567,,,,,,,,,0
64,Tue May 23 05:23:45 +0000 2023,🎯 La esposa de Hitler padecía una seria condicion ginecológica que le impedía tener relaciones sexuales https://t.co/WQDzYmkesC,-2,0,0,ProEditores,38659,2706,,,,,,,,,0
65,Mon May 30 17:07:12 +0000 2022,"@ZpSchz Qué argumento tan sólido señora!!! Empiece por estudiar Historia, busque información acerca del partido de donde provenía Hitler y ya luego dibuje los bigotitos que quiera y así se entretiene.",-2,0,0,mencitajerez,2035,40006,,,,,,,,,0
66,Sat Jun 11 17:12:29 +0000 2022,@PartidoMorenaMx @lopezobrador_ Jajaja también Hitler era popular.,0,24,281,CarlosTorresF_,69381,125124,,,,,,,,,0
67,Mon Apr 24 00:21:08 +0000 2023,@BumperCrop1 Yo siempre me pregunté cómo un pueblo como el Alemán pudo sostener a Hitler. Hoy veo la DW y me entero del cierre de las centrales nucleares y lo entiendo perfectamente. Son ⏹️.,-1,0,2,Soy_Politicon,2600,87882,,,,,,,,,0
68,Tue Jun 14 10:41:19 +0000 2022,"@PerreteCartago @EugenioDoors isabel, tranquila eh, tu puedes discriminar a quien quieras, ¿eran los judíos lo que no te gustaban no? bueno pues si ves que el judio te discrimina por algo me lo dices, que hablo con él, aquí respetamos tu ideología.
Mira, con todo el respeto vete a la m... con tu equidistancia",0,0,3,H3ctorCom,168,3094,,,,,,,,,0
69,Fri Jun 02 17:42:55 +0000 2023,"Álvaro Alvarado y Martinelli, dos mono neuronales que tienen 0 respeto por las víctimas del holocausto https://t.co/Emr1yYvQgt",-2,0,0,PittiEmilio,288,8440,,,,,,,,,0
70,Wed May 24 17:57:30 +0000 2023,"@ElsadelCastill3 De este fariseo no se puede dudar, cualquier cosa que proponga es por un fin mezquino y deshonesto.",0,0,1,Juanpe__74,1463,83813,,,,,,,,,0
71,Mon May 30 19:01:53 +0000 2022,@petrogustavo En los medios de otros países hablan sorprendidos de que un seguidor de Hitler vaya a segunda vuelta. Ya le dicen el Hitler latinoamericano,-2,0,0,AndrileMicoule1,2,667,,,,,,,,,0
72,Sun May 14 09:41:16 +0000 2023,"@Rao_Wulf @tiobokeron @DOGDEGA Claro, Rusia está luchando contra los vestigios de Hitler. Hay que ser lerdo.",-2,0,0,geo_orwell,1067,66019,,,,,,,,,0
73,Tue Apr 25 21:47:45 +0000 2023,"@zuletamerchan El bombardeo fue realizado por la Luftwaffe carnicera de Hitler a petición del bando nacional franquista. A pesar de no ser una población considerable en cuanto a número, es la capital histórica y espiritual del pueblo vasco. ""Guernika Euskadiren arima da"", en buen euskera.",-2,0,1,ejubim,2651,5039,,,,,,,,,0
74,Mon May 01 07:14:07 +0000 2023,@mataronaguille Igual te sorprende y el que llevas tú grabado en tu alma es el de tu querido tío Hitler. Recuerda que el karma llega aunque estés escondido en una cueva en lo alto cordillera andina. Suerte!!!!,0,0,0,Ktuka71,185,26542,,,,,,,,,0
75,Thu Jun 01 05:24:49 +0000 2023,"@ToroenReposo @r2cturpin Cuidado conmigo que controlo el BOE, Correos e Indra… Me hago un Hitler de final de legislatura en 3, 2, 1… https://t.co/AgosxpWhYX",-2,0,0,Falconetti_1880,1181,1084,,,,,,,,,0
76,Mon May 08 13:16:30 +0000 2023,Franco y Hitler compitiendo https://t.co/cEPpsuWALS,0,172,1279,oscba1,3859,25655,,,,,,,,,0
77,Thu Apr 27 16:50:30 +0000 2023,"@danielsirera @andreallopart Palestina está financiada por todos los paises Árabes. 
Israel es un bastión fundamental para España y el resto de Europa.
El suelo de Palestina es un sin fin subterráneo para atentar de forma indiscriminada a la gente de Israel. 
Cuándo Israel se defiende lo hace de una manera👉",-2,0,0,DarioAres4,1082,94288,,,,,,,,,0
78,Thu May 18 15:54:12 +0000 2023,"@Guspiranoi @Rorschargos @nyonyi79 No, es que Hitler mató judíos y Franco los salvó",-1,0,0,SoenneckenJA,40,1417,,,,,,,,,0
79,Mon May 30 12:40:43 +0000 2022,@andresmaestrela @ingrodolfohdez Lo que está bastante complicado es esa preferencia por el pensamiento de hitler,-2,0,1,EduardParejo,1630,4840,,,,,,,,,0
80,Tue May 02 13:45:31 +0000 2023,"@melo_plz @SonPolemicas PAISES QUE NO SON MIEMBROS DE ESA ""CORTE"": Reino Unido, Israel, EE UU., Rusia.",-1,0,0,WladimirCedeo1,14,271,,,,,,,,,0
81,Sat Apr 22 16:38:08 +0000 2023,"Otru equipu más pa entrar en Champions, claro, a la Liga de Tebas nun-y interesa esto. Tán los poderes fácticos y Soros tres de la sala VOR. Competición amagüestada!",0,0,0,MrEdurra,306,12586,,,,,,,,,0
82,Sun Jun 12 19:45:09 +0000 2022,"@diegoefectivo @SenoraCatolica En Levíticos no solamente el mensaje es para el pueblo judío en ese entonces, sino que engloba leyes morales, sociales y religiosas. (Social es por ejemplo la vestimenta). En el caso del homosexualismo es una ley moral.
🧵 👇🏻",-2,0,0,mariaeugniavc,58,1031,,,,,,,,,0
83,Sun May 29 23:08:19 +0000 2022,Ninguna persona que admire a Hitler puede estar bien de la cabeza. A mi no me vengan con chimbadas.,-2,0,3,Nuniverseblue,281,12858,,,,,,,,,0
84,Sun Jun 05 13:06:45 +0000 2022,"Ya, ya, pero qué opinas del Holocausto? https://t.co/YDOlxPqcZQ",1,1,6,Talven_Karhu,1277,31258,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,-2.0,1
85,Tue Apr 25 19:11:42 +0000 2023,"@Estoy_Avisando Bueno, al agente de Soros que me espie hoy, que me ayude a descargar un par de Onlyfans gratis. Porfa",-1,0,0,SpencerHRH96,36,22215,,,,,,,,,0
86,Mon Apr 24 20:10:57 +0000 2023,"@ElenaBerberana Parece que hay una agenda globalista en la que solo beneficia a Soros y su maquinaria de desinformacion global.

En estos tiempos decir la verdad es un acto de sacrificio",2,1,4,KingMpastora,459,44193,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1
87,Tue May 31 17:50:24 +0000 2022,"""Levítico 1:10 Si su ofrenda es de ganado menor, de corderos o cabras, para holocausto, ofrecerá un macho sin defecto.
"" #Biblia https://t.co/pIumwYOlpt",-2,0,0,jlopezmex,13,0,,,,,,,,,0
88,Fri May 19 10:55:40 +0000 2023,"@Demo_Popular @armesillaconde Hacer una tarjetita cambiando el significado totalmente a un texto y decir que ""mira los liberales dicen lo mismo que Hitler"" es ridículo. Marx mismo también hizo oda al capitalismo como la fase más avanzada, siendo esta una a superar.

Ser un trilero tampoco lo es.",-2,0,1,Felillop,191,10940,,,,,,,,,0
89,Thu Jun 16 22:00:36 +0000 2022,"@WolffWaldo @elisacarrio @JMilei No se,asusten .Yo creo que esta programado por los  nazis por el Kabal. Sostiene polìticas econòmicas que no cuadran ideas propias de los 
Jàzaros. Los nazis los tenemos desde 1945  ,nunca se fueron.
 Presten atenciòn . Esta financiado por Soros . .",1,0,0,esti55garribia,2995,31453,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1
90,Sat May 20 23:56:01 +0000 2023,@Enjoyer_Lons Hitler: bueno seré eterno,0,0,0,MisterMems2,2,711,,,,,,,,,0
91,Wed Apr 26 21:40:01 +0000 2023,"@Edmel2401 @GantielSigol Qué raro que no puedas encontrar a árabes reivindicando su condición de palestinos en esa época y te tengas que tragar el sapo de tener que mostrar a una judía célebre como Golda hablar de dicha condición. 
Se te cae la farsa. No hay neo-pueblo más artificial que el palestino.",-2,0,1,Agrelo866,40,1943,,,,,,,,,0
92,Wed May 03 08:07:26 +0000 2023,"@blancopineda Viniendo de ti, me ratifico en mi pensamiento inicial 😉",0,0,1,israel_iniguez,1118,1340,,,,,,,,,0
93,Sun Jun 05 18:53:32 +0000 2022,"@julioastillero @USAmbMex Y qué opinas de la judía @Claudiashein lo use? O te da miedo hablar? Eres incoherente, pensaba que tenías algo de cerebro pero eres muy tendencioso. No tienes objetividad y tú cerebro está plagado de semblanzas izquierdosas; cuando dicen que eras porro yo digo que sigues siendo",2,0,0,LeonelSerrano10,8,382,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,-2.0,1
94,Mon May 15 20:01:48 +0000 2023,"Antes de votar por una judía para presidente deberías saber esto.
https://t.co/ElCteCBa3f",2,1,2,Refocilador,358,12170,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,-2.0,1
95,Mon May 30 15:20:48 +0000 2022,"@ELTIEMPO Supuestos hechos de corrupción?. ,Cuando la fiscalía lo va a imputar por  el delito de interés ilícito a favor de terceros con su hijo. Ese es el candidato del cambio. Además de misógino y seguidor de Hitler. despierta Colombia Rodolfo y Uribe nos llevan al CAOS.",-2,0,1,OmarPin87642964,95,4417,,,,,,,,,0
96,Mon May 29 06:40:34 +0000 2023,"💥 Dentro de la historia poco conocida de la cariñosa madre de Adolf Hitler, Klara Hitler https://t.co/rVe2rvH3AZ",-2,0,0,TNovedosos,45577,385,,,,,,,,,0
